"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Belgium","BEL","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","94.4899978637695","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.4800033569336","","93.0100021362305","93.2600021362305","92.6600036621094","92.9199981689453","92.4899978637695","93.0299987792969","93.870002746582","95.0699996948242","95.6999969482422","95.870002746582","96.3588638305664","96.7399978637695","96.8622970581055","96.8185195922852","96.6435775756836","","",
"Benin","BEN","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.8042030334473","","","","","","20.6630897521973","33.6718482971191","25.6372299194336","","25.7668399810791","37.6049003601074","","",
"Burkina Faso","BFA","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.2700004577637","5.17000007629395","","","","","","","19.14479637146","","","","14.710000038147","17.2199993133545","","21.2134208679199","24.8531322479248","18.7572841644287","",
"Bangladesh","BGD","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.2400016784668","","","","","","","","","","48.8800010681152","49.9199981689453","47.6199989318848","48.7900009155273","54.75","56.2999992370605","57.439998626709","58.4000015258789","61.060001373291","62.8699989318848","60.5699996948242","64.3487014770508","","",
"Bulgaria","BGR","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","25.8700008392334","","","","","","","","","","","","","","","","","82.7200012207031","","","","","","","","","96.9899978637695","","","","","","","","","98.8114624023438","98.858757019043","98.9947280883789","98.9258651733398","98.8406295776367","98.9399795532227","98.9956665039062","99.120231628418","99.0381317138672","99.1240386962891","99.213996887207","99.1460189819336","99.1713409423828","","",
"Bahrain","BHR","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","17.1700000762939","","","","","","","","","","","","","","","","","","","","35.4000015258789","","","","","","","","","","80.3199996948242","","","","","","","","","68.3000030517578","","","","","","76.75","79.6900024414062","87.0199966430664","","93.0500030517578","","90.0400009155273","89.9100036621094","",
"Bahamas, The","BHS","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.5","","","","","","","","","","95.0800018310547","","","","","","","","","97.5113296508789","","","","99.0614395141602","",
"Bosnia and Herzegovina","BIH","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.0999984741211","74.3499984741211","75.2876205444336","76.4316864013672","78.0500030517578","79.870002746582","83.75","81.9597015380859","87.6100006103516","82.1134033203125","91.4199981689453","90.3940582275391","95.3600006103516","91.3951187133789","",
"Belarus","BLR","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.5100021362305","","","","","","","99.8468475341797","99.8783340454102","99.8845748901367","99.7900009155273","99.8883666992188","99.872802734375","99.8865585327148","99.8727951049805","",
"Belize","BLZ","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.3199996948242","","","","","99.7900009155273","","","94.391357421875","95.6384887695312","85.371696472168","95.777587890625","86.9781646728516","","80.8235015869141","81.4400024414062","86.733039855957","","","",
